item_code,bom,mismatch_type,source_summary,erp_summary,root_cause,action_taken,business_confirmation_needed
500C1032,BOM-500C1032-001,__TOTAL__,"Source formulation includes duplicate AD101 rows: 0.1 + 0.1; aggregated total = 100.0","ERP BOM aggregated total = 100.0","Verification logic false positive caused by duplicate-component overwrite during total calculation","No BOM change; verifier fixed to aggregate duplicate components",No
500C2031A,BOM-500C2031A-001,__TOTAL__,"Source formulation includes duplicate AD101 rows: 0.1 + 0.1; aggregated total = 100.0","ERP BOM aggregated total = 100.0","Verification logic false positive caused by duplicate-component overwrite during total calculation","No BOM change; verifier fixed to aggregate duplicate components",No
710C0022,BOM-710C0022-001,__TOTAL__,"Source formulation includes duplicate PR02 rows: 0.07 + 0.47; aggregated total = 100.009805","ERP BOM aggregated total = 100.009805","Source precision/rounding variance plus duplicate-component overwrite in verifier; within configured tolerance","No BOM change; verifier fixed and tolerance respected",No
710C3021A,BOM-710C3021A-001,__TOTAL__,"Source formulation includes duplicate AD101 rows: 0.15 + 0.15; aggregated total = 100.0","ERP BOM aggregated total = 100.0","Verification logic false positive caused by duplicate-component overwrite during total calculation","No BOM change; verifier fixed to aggregate duplicate components",No
710C3024,BOM-710C3024-001,__TOTAL__,"Source formulation includes duplicate AD101 rows: 0.15 + 0.15; aggregated total = 100.0","ERP BOM aggregated total = 100.0","Verification logic false positive caused by duplicate-component overwrite during total calculation","No BOM change; verifier fixed to aggregate duplicate components",No
740C3092,BOM-740C3092-001,AD303,"Source formulation includes duplicate AD303 rows: 0.3 + 0.3 + 0.2 = 0.8","ERP BOM aggregated AD303 total = 0.8","Verification logic false positive caused by duplicate-component overwrite when comparing one row instead of aggregate total","No BOM change; verifier fixed to aggregate duplicate components",No
740C3092,BOM-740C3092-001,__TOTAL__,"Source formulation aggregated total = 100.0","ERP BOM aggregated total = 100.0","Verification logic false positive caused by duplicate-component overwrite during total calculation","No BOM change; verifier fixed to aggregate duplicate components",No
760C1003,BOM-760C1003-001,__TOTAL__,"Source formulation includes duplicate AD103 rows: 0.15 + 0.15; aggregated total = 100.0","ERP BOM aggregated total = 100.0","Verification logic false positive caused by duplicate-component overwrite during total calculation","No BOM change; verifier fixed to aggregate duplicate components",No
900C0011,BOM-900C0011-001,AD304,"Source formulation includes duplicate AD304 rows: 1.2 + 0.2 = 1.4","ERP BOM aggregated AD304 total = 1.4","Verification logic false positive caused by duplicate-component overwrite when comparing one row instead of aggregate total","No BOM change; verifier fixed to aggregate duplicate components",No
900C0011,BOM-900C0011-001,__TOTAL__,"Source formulation aggregated total = 100.0","ERP BOM aggregated total = 100.0","Verification logic false positive caused by duplicate-component overwrite during total calculation","No BOM change; verifier fixed to aggregate duplicate components",No
